1,8,979.373,984.1260000000001
1,10,968.972,985.3789999999999
2,8,979.3960000000001,984.125
2,10,969.258,985.3510000000001
3,10,969.5210000000001,985.325
3,8,979.422,984.123
4,8,979.422,984.123
4,10,969.76,985.301
5,8,979.422,984.123
5,10,969.975,985.28
6,8,979.422,984.123
6,10,970.168,985.26
7,10,970.3380000000001,985.243
7,8,979.422,984.123
8,8,979.422,984.123
8,10,970.487,985.2289999999999
9,8,979.422,984.123
9,10,970.615,985.216
10,8,979.422,984.123
10,10,970.7239999999999,985.205
11,10,970.816,985.196
11,8,979.422,984.123
12,8,979.422,984.123
12,10,970.89,985.188
13,10,970.95,985.182
13,8,979.422,984.123
14,10,970.997,985.178
14,8,979.422,984.123
15,8,979.422,984.123
15,10,971.0319999999999,985.174
16,8,979.422,984.123
16,10,971.058,985.171
17,10,971.084,985.169
17,8,979.422,984.123
18,10,971.084,985.169
18,8,979.422,984.123
19,10,971.084,985.169
19,8,979.422,984.123
20,8,979.448,984.122
20,10,971.084,985.169
21,10,971.084,985.169
21,8,979.462,984.1210000000001
22,8,979.482,984.12
22,10,971.084,985.169
23,8,979.507,984.118
23,10,971.084,985.169
24,10,971.084,985.169
24,8,979.539,984.1160000000001
25,8,979.579,984.1139999999999
25,10,971.084,985.169
26,8,979.6289999999999,984.1110000000001
26,10,971.084,985.169
27,8,979.691,984.107
27,10,971.084,985.169
28,10,971.084,985.169
28,8,979.765,984.102
29,8,979.855,984.097
29,10,971.11,985.1669999999999
30,8,979.962,984.09
30,10,971.125,985.165
31,10,971.1460000000001,985.163
32,10,971.173,985.16
33,10,971.205,985.1569999999999
34,10,971.245,985.153
35,10,971.293,985.148
36,10,971.3489999999999,985.1419999999999
37,10,971.414,985.1360000000001
38,10,971.4889999999999,985.128
39,10,971.575,985.12
40,10,971.671,985.11
